Device name,Managed by,Ownership,Compliance,OS,OS version,Primary user UPN,Primary user display name,IP Address,MAC Address,Last check-in,Serial number,Manufacturer,Model,Intune Device ID,Category,Encrypted
AH-PC-000,MDM,Corporate,Compliant,Windows,10.0.26100.1742,peter.osemwegie@example-care.org,Peter Osemwegie,10.20.10.217,30:f6:03:e8:58:c8,2026-08-26T03:42:17Z,H4J9RJ1000,HP,EliteBook 640 G10,a001000-3f2b-4c1d-9e8a-000000007000,Staff device,Yes
AH-PC-001,MDM,Corporate,Compliant,Windows,10.0.26100.1742,liam.mensah@example-care.org,Liam Mensah,10.20.10.235,30:f6:03:e9:5f:d5,2026-08-25T06:42:17Z,D14Y681001,Dell Inc.,Latitude 5440,a001001-3f2b-4c1d-9e8a-000000007007,Staff device,Yes
AH-PC-002,MDM,Corporate,Compliant,Windows,10.0.26100.1742,rachel.sinclair@example-care.org,Rachel Sinclair,10.20.10.172,30:f6:03:ea:66:e2,2026-08-20T07:42:17Z,L4B41A1002,Microsoft Corporation,Surface Laptop 5,a001002-3f2b-4c1d-9e8a-000000007014,Staff device,Yes
AH-PC-003,MDM,Corporate,Compliant,Windows,10.0.26100.1742,peter.osemwegie@example-care.org,Peter Osemwegie,10.20.10.232,30:f6:03:eb:6d:ef,2026-08-21T06:42:17Z,H2LJZ31003,HP,EliteBook 640 G10,a001003-3f2b-4c1d-9e8a-000000007021,Staff device,Yes
AH-PC-004,MDM,Corporate,Compliant,Windows,10.0.26100.1742,zoe.doyle@example-care.org,Zoe Doyle,10.20.10.52,30:f6:03:ec:74:fc,2026-08-31T11:42:17Z,DQCZR1004,Dell Inc.,Latitude 3540,a001004-3f2b-4c1d-9e8a-000000007028,Staff device,Yes
AH-PC-005,MDM,Corporate,Compliant,Windows,10.0.26100.1742,liam.chapman@example-care.org,Liam Chapman,10.20.10.156,30:f6:03:ed:7b:09,2026-08-20T19:42:17Z,LLQVY1005,LENOVO,ThinkPad L14 Gen 4,a001005-3f2b-4c1d-9e8a-000000007035,Staff device,Yes
AH-PC-006,MDM,Corporate,Compliant,Windows,10.0.26100.1742,tomasz.mensah@example-care.org,Tomasz Mensah,10.20.10.172,30:f6:03:ee:82:16,2026-08-25T03:42:17Z,L3DI2N1006,LENOVO,ThinkPad L14 Gen 4,a001006-3f2b-4c1d-9e8a-000000007042,Staff device,Yes
AH-PC-007,MDM,Corporate,Compliant,Windows,10.0.26100.1742,hannah.ahmed@example-care.org,Hannah Ahmed,10.20.10.42,30:f6:03:ef:89:23,2026-08-31T10:42:17Z,L4BKQZ1007,LENOVO,ThinkPad L14 Gen 4,a001007-3f2b-4c1d-9e8a-000000007049,Staff device,Yes
AH-PC-008,MDM,Corporate,Compliant,Windows,10.0.26100.1742,christopher.thompson@example-care.org,Christopher Thompson,10.20.10.28,30:f6:03:f0:90:30,2026-08-22T17:42:17Z,D52K481008,Dell Inc.,Latitude 5440,a001008-3f2b-4c1d-9e8a-000000007056,Staff device,Yes
BL-PC-009,MDM,Corporate,Compliant,Windows,10.0.26100.1742,james.adeyemi@example-care.org,James Adeyemi,10.21.10.222,30:f6:03:f1:97:3d,2026-08-20T00:42:17Z,D5VCM11009,Dell Inc.,OptiPlex 7010,a001009-3f2b-4c1d-9e8a-000000007063,Staff device,Yes
BL-PC-010,MDM,Corporate,Compliant,Windows,10.0.26100.1742,liam.chapman@example-care.org,Liam Chapman,10.21.10.150,30:f6:03:f2:9e:4a,2026-08-22T11:42:17Z,L2VIGK1010,Microsoft Corporation,Surface Laptop 5,a001010-3f2b-4c1d-9e8a-000000007070,Staff device,Yes
BL-PC-011,MDM,Corporate,Compliant,Windows,10.0.26100.1742,rachel.sinclair@example-care.org,Rachel Sinclair,10.21.10.59,30:f6:03:f3:a5:57,2026-09-01T09:42:17Z,DYIOZ1011,Dell Inc.,OptiPlex 7010,a001011-3f2b-4c1d-9e8a-000000007077,Staff device,Yes
